n,a,b,x,Valor de la funcíon 
0,1000.0,-5.0,497.5,-38.65716381909548
1,497.5,-5.0,246.25,-37.28706192893401
2,246.25,-5.0,120.625,-34.46167057871817
3,120.625,-5.0,57.8125,-28.446726644418995
4,57.8125,-5.0,26.40625,-15.224372239360864
5,26.40625,-5.0,10.703125,9.45351076642239
6,26.40625,10.703125,18.5546875,-6.3559055856266085
7,18.5546875,10.703125,14.62890625,0.337836872551982
8,18.5546875,14.62890625,16.591796875,-3.257657382106764
9,16.591796875,14.62890625,15.6103515625,-1.5279547458067455
10,15.6103515625,14.62890625,15.11962890625,-0.6128750511724519
11,15.11962890625,14.62890625,14.874267578125,-0.14207841830486245
12,14.874267578125,14.62890625,14.7515869140625,0.09672592759524434
13,14.874267578125,14.7515869140625,14.81292724609375,-0.02296287297300381
14,14.81292724609375,14.7515869140625,14.782257080078125,0.03680965912116818
15,14.81292724609375,14.782257080078125,14.797592163085938,0.006905452491594133
16,14.81292724609375,14.797592163085938,14.805259704589844,-0.008033192082969265
17,14.805259704589844,14.797592163085938,14.80142593383789,-5.649906689626505E-4
18,14.80142593383789,14.797592163085938,14.799509048461914,0.0031699506413858103
19,14.80142593383789,14.799509048461914,14.800467491149902,0.0013024099251879306
20,14.80142593383789,14.800467491149902,14.800946712493896,3.6869211366052923E-4
21,14.80142593383789,14.800946712493896,14.801186323165894,-9.815365616105964E-5
22,14.801186323165894,14.800946712493896,14.801066517829895,1.3526813410891236E-4
23,14.801186323165894,14.801066517829895,14.801126420497894,1.8556965308391682E-5
24,14.801186323165894,14.801126420497894,14.801156371831894,-3.979841383738858E-5
